               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.028368,            0.019672,           0.0012589,             0.86891,             0.88241,             0.92885,              0.6026,            0.027062,            0.011237,          0.00084207,           0.0029215,           0.0029215,           0.0029215
                 145,            0.028374,            0.019829,           0.0012694,             0.87213,             0.88287,             0.92929,             0.60322,            0.027021,            0.011221,          0.00083914,            0.002872,            0.002872,            0.002872
                 146,            0.028271,            0.019712,           0.0013915,             0.87149,             0.88329,             0.92954,             0.60395,            0.026981,            0.011204,           0.0008354,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028215,             0.01972,           0.0012289,              0.8703,             0.88514,             0.92988,             0.60441,            0.026944,            0.011187,          0.00083163,            0.002773,            0.002773,            0.002773
                 148,            0.028173,            0.019561,           0.0013534,             0.87159,             0.88513,             0.93004,             0.60468,            0.026911,            0.011171,           0.0008281,           0.0027235,           0.0027235,           0.0027235
                 149,            0.028156,            0.019637,           0.0012701,             0.86867,             0.88559,             0.93022,             0.60546,            0.026877,            0.011155,          0.00082381,            0.002674,            0.002674,            0.002674
                 150,            0.027933,            0.019617,           0.0012486,             0.86857,             0.88742,             0.93057,             0.60611,            0.026839,            0.011138,          0.00082063,           0.0026245,           0.0026245,           0.0026245
                 151,            0.027908,            0.019473,           0.0012744,             0.86816,              0.8888,             0.93084,             0.60705,            0.026799,            0.011121,          0.00081658,            0.002575,            0.002575,            0.002575
                 152,            0.028138,            0.019464,           0.0012775,             0.87072,             0.88848,             0.93126,             0.60762,            0.026758,            0.011103,          0.00081441,           0.0025255,           0.0025255,           0.0025255
                 153,            0.027884,            0.019465,           0.0012961,             0.86935,             0.89022,             0.93149,             0.60826,             0.02672,            0.011086,           0.0008135,            0.002476,            0.002476,            0.002476
                 154,            0.027751,            0.019215,           0.0012007,             0.87453,             0.89029,             0.93191,             0.60936,            0.026684,            0.011069,          0.00081202,           0.0024265,           0.0024265,           0.0024265
